都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,画像_詳細,最終確認日
130001,0000000093,東京都,,一石橋迷子しらせ石標,イッコクバシマイゴシラセセキヒョ,,Ikkokubashi Maigoshirase Sekihyo,都指定文化財,歴史資料,,東京都中央区八重洲1-11先,,35.683948,139.77088,,,1,基,,東京都（建設局）,1924-02-05,月火水木金土日,0:00,0:00,,,,,,（説明文はフィクスチャでは省略）,,,,,2019-03-29
130001,0000000001,東京都,,旧岩崎邸庭園,キュウイワサキテイテイエン,,Kyu-Iwasaki-tei Garden,都指定文化財,名勝,,東京都台東区池之端1-3-45,,35.711774,139.767952,,,1,件,,東京都,1978-01-31,月火水木金土日,9:00,17:00,,,,,,（説明文はフィクスチャでは省略）,,,,,2019-03-29
